year,month,day,Temperatura,temp_25,temp_50,temp_75,temp_max,temp_mean,temp_min,temp_skew,temp_std,temp_var
2013,2,14,20.58,19.0,20.2,19.0,24.2,20.58,17.5,0.192222669922,1.90365655244,3.62390826963
2013,2,15,21.5026388889,19.075,21.6,19.075,27.2,21.5026388889,17.5,0.223036633172,2.58050234189,6.6589923365
2013,2,16,22.3020138889,19.6,21.2,19.6,27.2,22.3020138889,19.0,0.519020489999,2.89178993598,8.36244903386
2013,2,17,20.1373611111,19.3,19.9,19.3,22.4,20.1373611111,18.0,0.317442531814,1.1024421599,1.21537871593
2013,2,18,22.0148611111,18.8,21.3,18.8,28.0,22.0148611111,17.9,0.366745031357,3.23605276637,10.4720375068
2013,2,19,22.8627083333,19.7,22.6,19.7,28.1,22.8627083333,18.0,0.0455168978275,3.28876279065,10.8159606932
2013,2,20,22.9453472222,20.7,22.0,20.7,27.5,22.9453472222,19.9,0.497138417441,2.46976095396,6.09971916971
2013,2,21,22.1788888889,20.375,21.9,20.375,25.7,22.1788888889,19.4,0.138377969279,1.96484358165,3.86061030036
2013,2,22,22.4795138889,19.6,22.2,19.6,27.2,22.4795138889,18.0,0.161715724182,3.11536193052,9.70547995811
2013,2,23,23.4749305556,20.6,22.4,20.6,28.6,23.4749305556,19.4,0.360551491477,3.04891201651,9.2958644844
2013,2,24,22.0414583333,19.9,21.4,19.9,27.1,22.0414583333,18.5,0.406358060407,2.49667394278,6.23338077658
2013,2,25,23.0482638889,20.5,22.5,20.5,28.2,23.0482638889,18.5,0.0848486025557,3.03399956203,9.20515334241
2013,2,26,22.7659722222,20.7,21.6,20.7,28.5,22.7659722222,19.5,0.632106481682,2.66969222101,7.12725655492
2013,2,27,22.7853472222,19.7,22.1,19.7,28.6,22.7853472222,18.0,0.218689758145,3.30343421119,10.9126775876
2013,2,28,22.7102777778,20.0,22.0,20.0,27.2,22.7102777778,19.0,0.2993998613,2.78494539543,7.75592085553
2013,3,1,21.5824305556,19.0,21.4,19.0,26.4,21.5824305556,17.6,0.117042593022,2.52883928705,6.39502813972
2013,3,2,22.9088888889,19.9,22.4,19.9,28.0,22.9088888889,18.3,0.0985189717294,3.19784567665,10.2262169717
2013,3,3,21.8795833333,20.2,21.3,20.2,25.6,21.8795833333,19.2,0.295979914416,1.88714808879,3.56132790904
2013,3,4,21.5349652778,19.2,21.0,19.2,25.9,21.5349652778,18.2,0.235852517982,2.29634147166,5.27318415446
2013,3,5,23.4547222222,20.3,22.4,20.3,29.3,23.4547222222,19.1,0.382303750208,3.47978211403,12.1088835611
2013,3,6,23.3372569444,21.2,22.5,21.2,28.1,23.3372569444,20.0,0.473654660154,2.53767295586,6.43978403091
2013,3,7,22.7352083333,20.7,21.9,20.7,27.2,22.7352083333,19.5,0.490093830244,2.45023363148,6.00364484885
2013,3,8,23.7152083333,21.0,22.8,21.0,28.7,23.7152083333,20.0,0.376904206548,2.81060447668,7.89949752432
2013,3,9,23.9772916667,21.2,23.65,21.2,29.5,23.9772916667,19.5,0.23015182091,2.81573349287,7.92835510289
2013,3,10,23.4611111111,21.1,22.7,21.1,28.0,23.4611111111,19.7,0.160546988764,2.67399098384,7.15022778164
2013,3,11,23.5067361111,20.9,23.3,20.9,27.8,23.5067361111,19.4,0.101204992462,2.7764104695,7.70845509517
2013,3,12,22.7336111111,20.2,21.55,20.2,27.2,22.7336111111,19.6,0.506331460835,2.76196156818,7.62843170412
2013,3,13,22.0768402778,19.9,21.45,19.9,27.2,22.0768402778,19.4,0.76081098706,2.37835474062,5.65657127225
2013,3,14,20.9436111111,19.8,20.3,19.8,26.1,20.9436111111,19.1,1.39630561974,1.7242176464,2.97292649216
2013,3,15,20.9227083333,19.4,20.2,19.4,25.8,20.9227083333,18.6,1.08109707425,1.93035937299,3.7262873089
2013,3,16,22.5451388889,19.3,22.1,19.3,28.4,22.5451388889,18.0,0.231849025641,3.33014340938,11.089855127
2013,3,17,21.3909027778,19.4,20.5,19.4,27.8,21.3909027778,17.8,0.913918163438,2.70063261602,7.29341652672
2013,3,18,20.2317361111,18.6,18.8,18.6,25.8,20.2317361111,17.2,0.908742401094,2.51087968434,6.30451678924
2013,3,19,21.3268055556,18.9,21.1,18.9,25.5,21.3268055556,18.5,0.133940968945,2.16192738655,4.67393002471
2013,3,20,21.8079166667,19.3,21.0,19.3,28.5,21.8079166667,18.3,0.671047231265,2.86159416419,8.18872116053
2013,3,21,19.7470833333,18.8,19.5,18.8,23.9,19.7470833333,17.1,0.896243485846,1.53823354507,2.36616243919
2013,3,22,21.1198611111,18.3,20.9,18.3,27.1,21.1198611111,17.1,0.488425680328,2.9024821071,8.42440238206
2013,3,23,21.7375694444,19.6,21.0,19.6,27.0,21.7375694444,19.0,0.764665619695,2.38698077109,5.69767720157
2013,3,24,22.4548611111,19.3,21.3,19.3,28.2,22.4548611111,18.2,0.288445941809,3.36118660301,11.2975753803
2013,3,25,22.1822916667,19.1,21.5,19.1,30.0,22.1822916667,18.6,0.567424791319,3.11661672613,9.71329981758
2013,3,26,23.1240972222,20.3,22.6,20.3,28.9,23.1240972222,19.0,0.364131157175,3.10272737814,9.62691718304
2013,3,27,22.5021875,20.9,21.8,20.9,26.9,22.5021875,19.9,0.719621490062,2.01592458994,4.06395195231
